ID,Duration__in_seconds_,CRT1,CRT2,CRT3,CRT4,CRT5,CRT6,CRT7,CRT1perf,CRT2perf,CRT3perf,CRT4perf,CRT5perf,CRT6perf,CRT7perf,N1,N2,N3,N1perf,N2perf,N3perf,AOT_1,AOT_2,AOT_3,AOT_4,AOT_5,AOT_6,AOT_7,AOT_8,Climatoskepticism_1,Climatoskepticism_2,Climatoskepticism_3,Climatoskepticism_4,Climatoskepticism_5,Climatoskepticism_6,Climatoskepticism_7,Climatoskepticism_8,Climatoskepticism_9,Climatoskepticism_10,Climatoskepticism_11,Climatoskepticism_12,BeliefScience_1,BeliefScience_2,BeliefScience_3,BeliefScience_4,BeliefScience_5,BeliefScience_6,BeliefScience_7,BeliefScience_8,BeliefScience_9,BeliefScience_10,SciLit1,SciLit2,SciLit3,SciLit4,SciLit5,SciLit6,SciLit7,SciLit8,Gender,Gender_3_TEXT,Age,Ethnicity,Education,MaritalStatus,HouseholdIncome,Mturk,TrapQuestion,Completion,CRT,Numtotal,AOT,BeliefInSciencetotal,Literacy,Climato,filter,filter_$,AOTratio,CRTratio,CognitiveReflection,NumeracyLiteracyIndex
16,194,0.10,100,47,second,8,June,9,0,0,1,1,1,0,0,500,10,0.1,1,1,0,3,4,4,4,3,3,4,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,3,2,4,1,1,1,1,1,1,1,1,2,NA,29,1,9,1,2,63235152,1,1,3,2,28,17,8,14,1,1,0.7,0.42857142857142855,0.5642857142857143,10
17,276,$0.10,1 minute,24 days,First,8,Emily,27,0,0,0,0,1,1,0,400,1,1%,0,0,0,4,5,5,5,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,4,5,5,6,6,6,1,1,1,1,1,1,1,1,1,NA,20,4,5,1,3,89314942,1,1,2,0,37,56,8,12,1,1,0.925,0.2857142857142857,0.6053571428571429,8
18,282,0.05,5 minutes,47 days,first,8,Emily,27,1,1,1,0,1,1,0,500,10,0.1,1,1,0,3,4,4,4,3,4,4,3,1,1,1,1,1,1,1,2,1,1,1,1,6,6,5,4,4,4,4,4,4,6,1,1,1,1,1,1,1,1,2,NA,46,1,8,2,3,23762307,1,1,5,2,29,47,8,13,1,1,0.725,0.7142857142857143,0.7196428571428571,10
19,265,.05,100,47,2nd,8,Emily,9,1,0,1,1,1,1,0,500,10,.01,1,1,0,2,5,4,5,3,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,2,4,4,4,6,5,5,1,1,1,1,1,0,1,1,2,NA,23,1,5,3,3,85292754,1,1,5,2,33,46,7,12,1,1,0.825,0.7142857142857143,0.7696428571428571,9
20,299,.05,100,47,second,8,Emily,3,1,0,1,1,1,1,0,500,10,.001,1,1,1,4,5,5,5,5,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,4,5,5,5,2,6,6,1,1,1,1,1,1,0,0,2,NA,41,6,5,1,2,87359896,1,1,5,3,37,49,6,12,1,1,0.925,0.7142857142857143,0.8196428571428571,9
21,209,.10,100,24,first,7,Unknown,9,0,0,0,0,0,0,0,500,10,.01,1,1,0,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,0,1,NA,32,5,9,1,3,75377549,1,1,0,2,32,60,7,12,1,1,0.8,0,0.4,9
22,294,.10,100,24,1,7,June,9,0,0,0,0,0,0,0,500,1,10,1,0,0,2,4,4,4,2,2,4,4,3,3,2,2,2,2,2,2,2,2,3,3,4,2,2,2,3,3,3,2,3,4,1,1,0,0,1,1,1,1,2,NA,47,1,7,2,3,24701223,1,1,0,1,26,28,6,28,1,1,0.65,0,0.325,7
23,207,10,5,4,1,8,Emily,27,0,1,0,0,1,1,0,543,10,10,1,1,0,4,5,2,4,1,4,3,3,1,2,1,2,2,2,2,2,1,1,4,2,5,4,2,1,2,2,2,2,2,2,1,1,0,1,1,1,1,0,2,NA,42,1,6,2,2,39171051,1,1,3,2,26,24,6,22,1,1,0.65,0.42857142857142855,0.5392857142857143,8
24,290,.05,5,47,2nd,8,Emily,3,1,1,1,1,1,1,0,500,10,.1,1,1,0,4,4,4,5,2,4,4,3,1,1,2,2,2,1,2,2,2,2,2,2,5,5,4,4,4,4,3,4,4,4,1,1,1,1,1,1,0,1,1,NA,24,1,8,1,2,52698822,1,1,6,2,30,41,7,21,1,1,0.75,0.8571428571428571,0.8035714285714286,9
25,345,0.10,5,360,1,8,June,12,0,1,0,0,1,0,0,500,10,1,1,1,0,3,4,4,5,3,4,5,3,5,5,4,3,5,5,5,5,5,5,5,5,6,4,3,1,1,2,1,2,3,5,1,1,0,1,0,1,1,1,2,NA,68,1,5,4,3,33679789,1,1,2,2,31,28,6,57,1,1,0.775,0.2857142857142857,0.5303571428571429,8
26,320,.10,100,24,1st,7,Emily,27',0,0,0,0,0,1,0,500,100,0.001,1,0,1,1,5,3,5,3,2,4,5,3,3,2,2,1,1,1,1,1,1,4,2,4,4,5,2,5,4,2,4,4,4,1,1,0,1,1,0,1,1,2,NA,27,6,5,2,2,48637142,1,1,1,2,28,38,6,22,1,1,0.7,0.14285714285714285,0.4214285714285714,8
29,355,0.10,100,24,1st,7,June,9,0,0,0,0,0,0,0,500,10,1%,1,1,0,4,3,3,5,3,2,3,1,3,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,0,1,0,1,1,1,2,NA,29,3,9,1,3,39602331,1,1,0,2,24,13,6,17,1,1,0.6,0,0.3,8
30,368,.05,100 minutes,47,second,8,Emily,27,1,0,1,1,1,1,0,500,10,.01,1,1,0,2,4,5,5,2,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,2,2,3,3,5,5,5,1,1,1,1,1,1,1,1,2,NA,28,1,8,3,3,47038590,1,1,5,2,32,39,8,12,1,1,0.8,0.7142857142857143,0.7571428571428571,10
31,360,.10,25,24,2nd,8,june,27,0,0,0,1,1,0,0,250,10,100,0,1,0,1,1,1,3,2,1,2,1,5,5,5,1,4,4,4,4,5,4,3,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,1,NA,70,1,7,2,2,1848640,1,1,2,1,12,11,6,49,1,1,0.3,0.2857142857142857,0.2928571428571428,7
32,186,.10,100,36,first,8,june,27,0,0,0,0,1,0,0,500,10,.1,1,1,0,4,3,3,2,2,2,3,3,4,4,3,4,4,3,4,3,4,4,3,4,4,4,5,4,4,4,4,5,4,4,1,1,1,1,1,1,0,1,1,NA,23,5,8,1,5,11418167,1,1,1,2,22,42,7,44,1,1,0.55,0.14285714285714285,0.3464285714285714,9
33,303,.05,5,47,second,8,Emily,0,1,1,1,1,1,1,1,500,10,.1,1,1,0,4,5,5,5,5,5,5,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,NA,53,1,9,1,2,86299024,1,1,7,2,38,50,8,24,1,1,0.95,1,0.975,10
34,202,.05,5 minutes,47,second,8,Emily,0,1,1,1,1,1,1,1,500,10,.1,1,1,0,4,5,4,5,4,3,4,4,2,2,1,1,1,1,1,1,1,2,1,1,6,6,5,2,3,4,3,4,4,5,1,1,1,1,1,1,1,1,2,NA,26,5,8,1,1,93197435,1,1,7,2,33,42,8,15,1,1,0.825,1,0.9125,10
35,348,.05,5,47,1st,8,Emily,0,1,1,1,0,1,1,1,500,10,.1,1,1,0,1,4,4,5,3,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,4,6,6,6,5,6,1,1,1,1,1,1,1,0,1,NA,27,3,5,1,2,43827255,1,1,6,2,32,57,7,12,1,1,0.8,0.8571428571428571,0.8285714285714285,9
36,391, .05,5 Minutes,47,Second Place,8,Emily,3,1,1,1,1,1,1,0,500,10,.01,1,1,0,3,5,4,5,3,4,5,5,4,4,3,2,2,2,2,4,2,2,4,4,6,5,6,4,5,5,5,6,6,4,1,1,1,1,1,1,1,1,1,NA,34,2,8,2,4,96928621,1,1,6,2,34,52,8,35,1,1,0.85,0.8571428571428571,0.8535714285714285,10
37,162,0.10,100,24,2,8,Emily,9,0,0,0,0,1,1,0,100,100,10,0,0,0,4,3,4,3,2,3,2,4,4,3,4,4,4,4,5,4,4,3,4,4,4,6,5,5,4,4,5,5,5,6,0,0,1,0,1,0,0,1,1,NA,26,3,7,1,6,34148128,1,1,2,0,25,49,3,47,1,1,0.625,0.2857142857142857,0.45535714285714285,3
38,364,.5 CENTS,5 MINUTES,24,2nd,8,june,12,1,1,0,1,1,0,0,50%,10,1percent,0,1,0,3,2,3,3,4,5,4,3,3,2,2,1,2,3,4,3,2,3,3,2,3,3,4,4,3,3,4,4,5,3,1,1,0,1,0,0,1,1,2,NA,47,1,5,5,2,72954172,1,1,4,1,27,36,5,30,1,1,0.675,0.5714285714285714,0.6232142857142857,6
39,443,$.10,100 minutes,24,Second Place,8,Emily,27,0,0,0,1,1,1,0,500,10,.1%,1,1,1,3,5,5,3,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,4,5,6,6,6,6,6,1,1,1,1,1,1,1,1,2,NA,22,1,8,1,2,11587236,1,1,3,3,30,57,8,12,1,1,0.75,0.42857142857142855,0.5892857142857143,11
40,454,60,10,24,first,27,june,27,0,0,0,0,0,0,0,50,1,1%,0,0,0,5,5,5,5,1,1,5,4,1,1,1,1,1,3,4,3,3,1,3,3,5,3,4,4,4,5,5,5,5,5,1,0,1,1,1,1,1,1,2,NA,23,2,4,1,1,21097705,1,1,0,0,31,45,7,25,1,1,0.775,0,0.3875,7
41,303,.10,500 minutes,24 days,second,8,Emily,27 cubic feet,0,0,0,1,1,1,0,500,10,.01,1,1,0,4,4,4,5,3,3,4,4,1,1,2,2,2,2,4,4,2,4,2,2,4,5,5,5,2,2,4,4,5,5,0,1,1,0,1,1,0,1,1,NA,31,5,8,2,3,82219146,1,1,3,2,31,41,5,28,1,1,0.775,0.42857142857142855,0.6017857142857143,7
42,449,.05,5,47,2,8,emily,0,1,1,1,0,1,1,1,500,10,.01,1,1,0,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,0,0,1,NA,65,1,8,2,4,51322586,1,1,6,2,39,60,6,12,1,1,0.975,0.8571428571428571,0.9160714285714285,8
43,229,.05,5 minutes,24 days,1st,8,June,3,1,1,0,0,1,0,0,500,10,.1,1,1,0,3,3,4,2,2,4,4,4,4,4,2,4,3,3,4,4,2,4,3,5,4,3,4,4,2,3,3,4,3,3,1,1,1,1,1,1,0,1,1,NA,24,1,7,3,2,42146650,1,1,3,2,26,33,7,42,1,1,0.65,0.42857142857142855,0.5392857142857143,9
44,137,1,15,96,second place,15,may,3,0,0,0,1,0,0,0,4,10,1000,0,1,0,4,4,4,3,2,2,2,3,4,4,5,4,4,4,3,4,4,4,4,3,6,5,4,4,3,4,4,5,5,5,1,0,0,1,1,0,1,0,1,NA,32,1,7,1,2,12844097,1,1,1,1,24,45,4,47,1,1,0.6,0.14285714285714285,0.37142857142857144,5
45,325,10,100,24,first,7,June,27,0,0,0,0,0,0,0,4,100,10,0,0,0,5,5,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,5,1,1,6,6,6,6,6,6,6,6,1,1,0,1,1,0,1,1,2,NA,56,1,8,1,2,22273837,1,1,0,0,24,50,6,20,1,1,0.6,0,0.3,6
46,444,0.05,500,47,2,8,Emily,0,1,0,1,0,1,1,1,500,10,1,1,1,0,4,5,5,5,3,5,5,5,1,1,1,5,1,1,1,1,1,1,1,1,6,5,5,4,4,3,2,3,4,5,1,1,1,1,1,1,1,1,2,NA,23,1,8,1,3,6640775,1,1,5,2,37,41,8,16,1,1,0.925,0.7142857142857143,0.8196428571428571,10
47,247,.1,5,47,second,8,Emily,3,0,1,1,1,1,1,0,500,1,1,1,0,0,4,4,4,4,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,0,1,0,1,1,0,1,2,NA,27,2,5,3,3,83687572,1,1,5,1,30,50,5,12,1,1,0.75,0.7142857142857143,0.7321428571428572,6
48,326,10,20,12,first place,7,June,27,0,0,0,0,0,0,0,500,10,1,1,1,0,4,2,2,3,3,2,2,3,4,4,3,4,4,3,4,4,3,4,4,4,4,2,5,5,4,5,5,5,6,6,1,1,1,1,1,0,0,1,1,NA,56,5,8,1,2,29316338,1,1,0,2,21,47,6,45,1,1,0.525,0,0.2625,8
50,509,0.10,100,24,second,8,Emily,3,0,0,0,1,1,1,0,500,100,0.1,1,0,0,4,5,5,5,3,5,5,3,3,3,2,5,3,3,3,3,3,4,4,4,2,6,2,3,3,2,2,3,2,6,1,1,1,1,1,1,1,1,2,NA,21,1,5,1,2,1214425,1,1,3,1,35,31,8,40,1,1,0.875,0.42857142857142855,0.6517857142857143,9
52,402,0.10,5,24,1,7,Emily,27,0,1,0,0,0,1,0,2,1,50,0,0,0,4,3,3,4,3,3,2,3,4,3,3,2,3,3,2,2,3,4,3,3,4,3,3,2,4,5,4,2,3,4,1,0,1,1,1,1,1,0,1,NA,29,1,8,1,3,96143602,1,1,2,0,25,34,6,35,1,1,0.625,0.2857142857142857,0.45535714285714285,6
54,239,1.10,500,24,First,8,June,30,0,0,0,0,1,0,1,50,1,2,0,0,0,4,4,4,4,4,4,4,4,2,2,3,2,2,2,2,2,3,3,2,4,5,5,5,5,5,5,5,5,5,5,1,1,0,1,1,1,1,0,1,NA,31,1,8,1,2,70185761,1,1,2,0,32,50,6,29,1,1,0.8,0.2857142857142857,0.5428571428571429,6
56,344,.10,5,47,second,8,Emily,9,0,1,1,1,1,1,0,500,10,0.01,1,1,0,2,4,4,4,2,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,3,3,2,2,4,4,6,0,1,1,1,0,1,1,1,2,NA,23,3,8,1,6,18432303,1,1,5,2,27,35,6,12,1,1,0.675,0.7142857142857143,0.6946428571428571,8
57,454,0.60,100,24,2,8,Emily,27,0,0,0,0,1,1,0,6,100,95,0,0,0,4,4,5,1,2,3,3,3,4,4,1,4,4,5,4,4,5,4,5,5,5,5,5,5,6,5,5,6,6,6,0,0,1,0,1,0,1,1,2,NA,28,1,8,2,4,70922615,1,1,2,0,25,54,4,49,1,1,0.625,0.2857142857142857,0.45535714285714285,4
58,483,.10,100,24,1st,8,june,27,0,0,0,0,1,0,0,500,10,.001,1,1,1,4,5,5,5,3,4,5,3,1,1,1,5,1,2,3,1,1,1,3,3,6,6,6,3,6,5,6,5,6,5,1,1,1,1,1,1,0,0,1,NA,20,2,4,1,3,77846859,1,1,1,3,34,54,6,23,1,1,0.85,0.14285714285714285,0.49642857142857144,9
59,370,.10,100,12,second,8,emily,0,0,0,0,1,1,1,1,300,10,1,0,1,0,3,5,5,4,3,4,5,4,1,1,1,1,1,1,1,1,1,1,2,1,6,5,5,4,4,5,4,5,5,5,1,1,1,1,0,0,0,1,2,NA,45,1,8,6,2,6290170,1,1,4,1,33,48,5,13,1,1,0.825,0.5714285714285714,0.6982142857142857,6
60,195,.05,5 minutes,47 days,second,8,Emily,27,1,1,1,1,1,1,0,500,10,.1%,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,2,1,1,6,6,6,6,5,6,2,4,6,6,1,1,1,1,1,1,1,1,2,NA,36,1,9,2,4,64393306,1,1,6,3,40,53,8,13,1,1,1,0.8571428571428571,0.9285714285714286,11
61,489,.10,500,24,second,8,Emily,9,0,0,0,1,1,1,0,500,100,.001,1,0,1,5,5,5,5,3,5,5,5,2,2,1,1,2,3,2,4,2,2,4,4,6,6,5,3,3,2,2,2,4,6,1,1,1,1,1,1,1,1,1,NA,53,1,5,2,2,39942931,1,1,3,2,38,39,8,29,1,1,0.95,0.42857142857142855,0.6892857142857143,10
63,542,0.05,5,47,2,8,Emily,0,1,1,1,0,1,1,1,450,10,0.10,0,1,0,4,5,5,5,3,4,5,4,4,4,1,1,1,4,1,4,2,2,4,4,6,6,4,4,5,6,5,3,5,6,1,1,1,1,1,1,0,1,2,NA,40,1,5,1,2,298295,1,1,6,1,35,50,7,32,1,1,0.875,0.8571428571428571,0.8660714285714286,8
64,449,.10,100,24,1ST,7,EMILY,27,0,0,0,0,0,1,0,500,10,.1,1,1,0,4,5,2,4,2,2,4,1,4,2,2,2,2,3,4,3,2,4,3,3,2,5,4,4,5,5,4,6,5,5,1,1,1,1,1,1,1,0,1,NA,23,1,8,2,2,60834877,1,1,1,2,24,45,7,34,1,1,0.6,0.14285714285714285,0.37142857142857144,9
66,461,",10",100,24,first,7,june,9,0,0,0,0,0,0,0,6,1,1,0,0,0,1,5,5,5,5,5,5,3,1,1,1,2,2,2,4,4,1,1,2,2,6,6,6,1,2,2,5,1,4,5,1,1,0,1,1,1,0,0,2,NA,68,1,8,3,2,64892974,1,1,0,0,34,38,5,23,1,1,0.85,0,0.425,5
67,470,0.05,5 minutes,47 days,second,7,Emily,27,1,1,1,1,0,1,0,500,10,0.1,1,1,0,3,4,4,3,3,2,3,4,4,4,1,2,2,2,3,4,3,2,3,4,5,6,4,4,4,5,4,6,5,6,0,0,1,0,1,0,0,1,1,NA,26,1,8,1,3,77377397,1,1,5,2,26,49,3,34,1,1,0.65,0.7142857142857143,0.6821428571428572,5
68,582,0.10,100,28,first place,7,june,24,0,0,0,0,0,0,0,2,100,999,0,0,1,4,4,3,4,2,2,2,3,2,1,1,4,4,5,1,1,4,5,5,5,5,6,6,6,6,5,5,6,6,6,1,1,0,1,1,0,1,0,1,NA,39,2,8,2,3,94617522,1,1,0,1,24,57,5,38,1,1,0.6,0,0.3,6
69,295,10,100,24,First,7,June,3,0,0,0,0,0,0,0,1000,100,1,0,0,0,5,3,3,3,2,2,3,3,5,5,3,2,5,3,3,5,3,5,5,4,5,5,4,2,5,3,5,2,5,3,1,0,0,1,1,0,0,0,1,NA,35,3,8,2,3,43428444,1,1,0,0,24,39,3,48,1,1,0.6,0,0.3,3
70,434,.05,100,47 days,second place,8,Emily,27,1,0,1,1,1,1,0,500,10,.1,1,1,0,4,5,5,4,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,2,3,4,3,6,5,6,1,1,1,1,1,1,1,1,1,NA,27,1,8,2,2,5923075,1,1,5,2,36,40,8,12,1,1,0.9,0.7142857142857143,0.8071428571428572,10
71,316,.10,5 minutes,47 days,1st place,8,June,27,0,1,1,0,1,0,0,500,10,.1%,1,1,1,5,4,4,5,1,1,4,4,2,2,5,5,5,1,5,5,5,5,5,5,5,2,3,2,2,2,2,3,3,4,1,1,1,1,1,1,1,0,1,NA,64,1,8,2,2,11761420,1,1,3,3,28,28,7,50,1,1,0.7,0.42857142857142855,0.5642857142857143,10
72,374,.10,100,47,Second place,8,Emily,27,0,0,1,1,1,1,0,500,10,.1%,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,2,3,3,2,3,5,6,1,1,1,0,1,1,1,1,1,NA,24,6,7,1,2,15943866,1,1,4,3,36,42,7,12,1,1,0.9,0.5714285714285714,0.7357142857142858,10
73,400,.10,100,47,first,8,Emily,3,0,0,1,0,1,1,0,300,10,.5%,0,1,0,5,5,5,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,5,6,6,5,6,6,1,1,1,1,1,1,1,1,2,NA,49,1,5,5,2,15130925,1,1,3,1,39,58,8,12,1,1,0.975,0.42857142857142855,0.7017857142857142,9
74,583,five cents,five,forty-seven,second place,eight,Emily,three,1,1,1,1,1,1,0,500,ten,0.1%,1,1,1,4,5,5,5,3,5,5,3,1,1,1,1,1,1,1,1,1,2,1,1,6,6,4,4,6,6,5,3,6,6,1,1,1,1,1,1,0,1,1,NA,31,1,5,3,3,91823272,1,1,6,3,35,52,7,13,1,1,0.875,0.8571428571428571,0.8660714285714286,10
75,561,.05,5 minutes,47,second,8,Emily,none. It's a hole.,1,1,1,1,1,1,1,500,10,.10,1,1,0,1,5,5,4,3,3,5,3,4,4,2,1,4,2,2,5,5,2,5,5,4,5,5,1,5,5,3,5,6,3,1,1,1,1,1,1,1,1,1,NA,29,1,5,2,3,39778546,1,1,7,2,29,42,8,41,1,1,0.725,1,0.8625,10
76,312,.10,5 minutes,47 days,first,7,Emily,27,0,1,1,0,0,1,0,500,10,.1,1,1,0,3,4,4,4,2,1,4,3,4,3,4,4,4,3,3,4,5,5,4,4,5,4,5,3,2,4,4,3,4,4,1,1,1,1,1,1,1,1,1,NA,42,1,8,6,2,56766868,1,1,3,2,25,38,8,47,1,1,0.625,0.42857142857142855,0.5267857142857143,10
77,522,.10,100,24,first,7,June,9,0,0,0,0,0,0,0,500,10,1,1,1,0,2,4,4,3,3,4,3,4,2,3,4,4,3,2,3,4,4,4,3,2,2,4,4,4,3,2,3,4,5,5,1,1,0,1,1,0,1,0,1,NA,30,1,5,1,2,11387869,1,1,0,2,27,36,5,38,1,1,0.675,0,0.3375,7
78,534,1.05,5 minutes,47 days,second,8,emily,0,0,1,1,1,1,1,1,500,10,1,1,1,0,3,4,5,5,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,2,NA,19,3,5,1,2,645486,1,1,6,2,31,25,8,12,1,1,0.775,0.8571428571428571,0.8160714285714286,10
79,183,0.10,5,24,2,8,Emily,9,0,1,0,0,1,1,0,10,100,10,0,0,0,5,4,5,2,3,1,2,4,3,3,4,4,4,3,4,4,4,4,4,4,5,5,4,4,3,4,5,4,3,5,1,1,0,1,1,0,0,1,1,NA,22,1,7,3,4,86515907,1,1,3,0,26,42,5,45,1,1,0.65,0.42857142857142855,0.5392857142857143,5
80,508,.10,100 minutes,24,first,8,June,3 feet,0,0,0,0,1,0,0,333,1,1,0,0,0,3,4,4,4,3,3,4,4,1,1,1,5,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,2,2,2,1,1,1,1,1,1,1,1,2,NA,33,3,8,5,2,45057342,1,1,1,0,29,23,8,16,1,1,0.725,0.14285714285714285,0.43392857142857144,8
81,279,0.1,100,24,Second place,8,Emily,27,0,0,0,1,1,1,0,500,10,0.001,1,1,1,4,3,4,2,1,2,3,4,4,3,4,5,4,2,3,4,5,4,5,4,4,6,5,4,4,5,4,6,5,5,1,0,1,0,1,1,1,1,2,NA,25,3,8,1,2,49823208,1,1,3,3,23,48,6,47,1,1,0.575,0.42857142857142855,0.5017857142857143,9
82,651,.10,100 minutes,24 days,first,7,June,9,0,0,0,0,0,0,0,500,10,1,1,1,0,4,3,3,5,2,3,4,2,3,3,2,2,3,2,3,3,2,2,3,2,4,3,4,3,3,3,3,4,4,4,1,0,0,1,1,1,0,0,2,NA,55,1,5,2,3,47113110,1,1,0,2,26,35,4,30,1,1,0.65,0,0.325,6
